HBA;HBD;Molar ratio;Temperature (C);Pressure (bar);log 10 x_sol H2S;log 10 x_sol CO2;log 10 x_sol CH4;solubility H2S;solubility CO2;solubility CH4;Selectivity of H2S/ CH4;Selectivity of CO2/ CH4;Performance Index
methyltriphenylphosphonium bromide;Levulinic acid;1&2;323.15;2;-0.55263192;-1.68888998;-2.61761768;0.280135456;0.020469631;0.002412028;929.1284256;67.89185687;63080.25409
methyltriphenylphosphonium bromide;Levulinic acid;1&2;333.15;2;-0.63313381;-1.77211127;-2.64847423;0.232737406;0.016900079;0.0022466;828.7631015;60.18010581;49875.05114
methyltriphenylphosphonium bromide;Levulinic acid;1&2;303.15;3;0;-1.33339425;-2.37320699;1;0.046409378;0.004234411;1889.282827;87.6804413;165653.152
methyltriphenylphosphonium bromide;Levulinic acid;1&2;313.15;3;-0.3178957;-1.42728652;-2.40858977;0.480954841;0.037386386;0.003903105;985.7892026;76.62901392;75540.05453
methyltriphenylphosphonium bromide;Levulinic acid;1&2;323.15;3;-0.4207605;-1.51520334;-2.44159527;0.379524223;0.030534911;0.003617468;839.3145598;67.52769365;56676.97647
methyltriphenylphosphonium bromide;Levulinic acid;1&2;333.15;3;-0.49320033;-1.59794939;-2.47244807;0.321217849;0.025237749;0.003369395;762.6718675;59.92232655;45701.0727
methyltriphenylphosphonium bromide;Levulinic acid;1&3;303.15;1;-0.65743067;-1.83710904;-2.87464541;0.2200743;0.014550937;0.001334611;1319.182031;87.2220635;115061.7789
methyltriphenylphosphonium bromide;Levulinic acid;1&3;313.15;1;-0.75283521;-1.93202715;-2.90948983;0.176670806;0.011694263;0.001231715;1147.478632;75.95435271;87155.99674
methyltriphenylphosphonium bromide;Levulinic acid;1&3;323.15;1;-0.84553291;-2.02049734;-2.94197143;0.142714168;0.009538996;0.001142954;998.9149363;66.76734041;66694.89359
methyltriphenylphosphonium bromide;Levulinic acid;1&3;333.15;1;-0.93475893;-2.10346553;-2.97231254;0.116209349;0.00788015;0.001065829;872.2552598;59.14758227;51591.78974
methyltriphenylphosphonium bromide;Levulinic acid;1&3;303.15;2;-0.38675063;-1.53971677;-2.57365975;0.410439708;0.02885913;0.002668949;1230.266241;86.50335804;106422.1611
methyltriphenylphosphonium bromide;Levulinic acid;1&3;313.15;2;-0.51302131;-1.63383101;-2.60850267;0.30688714;0.023236408;0.002463187;996.7158097;75.46779255;75219.94196
methyltriphenylphosphonium bromide;Levulinic acid;1&3;323.15;2;-0.59429753;-1.72170793;-2.64098297;0.254508605;0.018979819;0.002285688;890.7901928;66.43011848;59175.29804
methyltriphenylphosphonium bromide;Levulinic acid;1&3;333.15;2;-0.67387933;-1.8042301;-2.67132295;0.211894981;0.01569531;0.002131459;795.3048062;58.90916094;46850.73882
methyltriphenylphosphonium bromide;Levulinic acid;1&3;303.15;3;0;-1.36718579;-2.39761206;1;0.042935271;0.004003022;1998.490311;85.80572339;171481.9068
methyltriphenylphosphonium bromide;Levulinic acid;1&3;313.15;3;-0.34015872;-1.46052691;-2.43245361;0.45692117;0.034631643;0.003694421;989.4295506;74.99230232;74199.59999
methyltriphenylphosphonium bromide;Levulinic acid;1&3;323.15;3;-0.46019267;-1.5478277;-2.46493272;0.346583059;0.028325155;0.003428209;808.779318;66.09901793;53459.51864
methyltriphenylphosphonium bromide;Levulinic acid;1&3;333.15;3;-0.5335547;-1.62991408;-2.49527165;0.292715217;0.023446926;0.003196895;732.4988328;58.67425135;42978.82063
tetrabutylammonium bromide;Levulinic acid; 1& 1;303.15;1;-0.48225738;-1.60080194;-2.68738055;0.32941443;0.025072524;0.00205409;1282.960121;97.64917917;125280.0027
tetrabutylammonium bromide;Levulinic acid; 1& 1;313.15;1;-0.57529198;-1.70232294;-2.72816291;0.265893683;0.019846186;0.001869981;1137.524913;84.90435303;96580.8168
tetrabutylammonium bromide;Levulinic acid; 1& 1;323.15;1;-0.66785395;-1.79733672;-2.76625536;0.214855289;0.015946423;0.00171295;1003.439972;74.47467677;74730.86755
tetrabutylammonium bromide;Levulinic acid; 1& 1;333.15;1;-0.75844345;-1.8867112;-2.80191054;0.174404044;0.012980422;0.001577936;884.213369;65.8096115;58189.7383
tetrabutylammonium bromide;Levulinic acid; 1& 1;303.15;2;-0.28080449;-1.30813676;-2.3867267;0.523836203;0.049188462;0.004104623;1020.968157;95.86938182;97879.58605
tetrabutylammonium bromide;Levulinic acid; 1& 1;313.15;2;-0.35455862;-1.40772287;-2.42746797;0.44201945;0.039109038;0.003737077;946.2357168;83.72113107;79219.92447
tetrabutylammonium bromide;Levulinic acid; 1& 1;323.15;2;-0.43116109;-1.50132287;-2.46552615;0.370543253;0.0315266;0.003423528;865.8746937;73.67044056;63789.37015
tetrabutylammonium bromide;Levulinic acid; 1& 1;333.15;2;-0.5089129;-1.58965048;-2.50115249;0.309804056;0.025724653;0.003153897;785.8317597;65.25172497;51276.87785
tetrabutylammonium bromide;Levulinic acid; 1& 1;303.15;3;-0.18472321;-1.14019004;-2.21101025;0.653546947;0.072411903;0.006151624;849.9179999;94.16948536;80036.34065
tetrabutylammonium bromide;Levulinic acid; 1& 1;313.15;3;-0.24592707;-1.23793044;-2.25171069;0.56763992;0.057818865;0.005601306;810.7250777;82.57911743;66948.96139
tetrabutylammonium bromide;Levulinic acid; 1& 1;323.15;3;-0.3110598;-1.33016827;-2.28973482;0.488585079;0.046755395;0.005131746;761.6667672;72.88808448;55516.43167
tetrabutylammonium bromide;Levulinic acid; 1& 1;333.15;3;-0.37894295;-1.41747492;-2.32533249;0.417885257;0.038240634;0.004727892;707.0978667;64.70644751;45753.791
tetrabutylammonium bromide;Levulinic acid;1&2;303.15;1;-0.56063584;-1.68289785;-2.74818326;0.275019925;0.020754016;0.001785734;1232.075742;92.97697172;114554.6714
tetrabutylammonium bromide;Levulinic acid;1&2;313.15;1;-0.65138942;-1.7824609;-2.78742802;0.223157034;0.016502096;0.001631443;1094.280316;80.92022972;88549.41451
tetrabutylammonium bromide;Levulinic acid;1&2;323.15;1;-0.74168029;-1.87552652;-2.82405796;0.181267402;0.013319057;0.001499485;967.0917022;71.05938214;68720.93883
tetrabutylammonium bromide;Levulinic acid;1&2;333.15;1;-0.83004739;-1.96297864;-2.85831676;0.1478947;0.010889837;0.001385745;853.8063039;62.86777743;53676.90468
tetrabutylammonium bromide;Levulinic acid;1&2;303.15;2;-0.32080587;-1.38940974;-2.44745766;0.477742777;0.040793433;0.003568965;1070.88239;91.44035574;97921.86672
tetrabutylammonium bromide;Levulinic acid;1&2;313.15;2;-0.43277736;-1.487254;-2.48667072;0.369166803;0.032564619;0.003260838;905.6978713;79.89262797;72358.58309
tetrabutylammonium bromide;Levulinic acid;1&2;323.15;2;-0.50708327;-1.57905854;-2.5232741;0.311111977;0.02635976;0.00299727;830.3875267;70.3567139;58423.33764
tetrabutylammonium bromide;Levulinic acid;1&2;333.15;2;-0.58238815;-1.66557265;-2.55751047;0.261584406;0.021598687;0.002770062;755.4614485;62.37747732;47123.77937
tetrabutylammonium bromide;Levulinic acid;1&2;303.15;3;0;-1.22065836;-2.27166956;1;0.060164684;0.005349712;1495.407474;89.97071814;134542.8844
tetrabutylammonium bromide;Levulinic acid;1&2;313.15;3;0;-1.31686429;-2.31085115;1;0.048209842;0.004888199;1636.594687;78.89997162;129127.2744
tetrabutylammonium bromide;Levulinic acid;1&2;323.15;3;-0.3883993;-1.40745449;-2.34742817;0.408884549;0.039133213;0.004493366;727.9790094;69.67286461;50720.38296
tetrabutylammonium bromide;Levulinic acid;1&2;333.15;3;-0.45409909;-1.49305474;-2.38164224;0.351480237;0.032132555;0.00415296;677.069323;61.89812404;41909.32094
tetrabutylammonium bromide;Levulinic acid;1&3;303.15;1;-0.61758794;-1.73588711;-2.78741923;0.241219304;0.018370158;0.001631476;1182.827129;90.0786994;106547.5294
